id,pub_date_raw,upd_date_raw,pub_date,upd_date,effective_date,platform,author,format,title,url,position,promo,status,is_retrofit,note,effective_date_dt,effective_month
13,08.03.2025,16.01.2026,2025-03-08,2026-01-16,2025-03-08,vc.ru,Никита,Листикл «ТОП-20»,Накрутка лайков в ВК: 20 сервисов в 2026 году,https://vc.ru/niksolovov/1853142,№1,—,Активна,False,Обновлена 01.2026,2025-03-08,2025-03
14,15.03.2025,07.01.2026,2025-03-15,2026-01-07,2025-03-15,vc.ru,Мнения / Накрутка,Листикл «ТОП-25»,Накрутка просмотров YouTube — ТОП-25 сервисов 2026 года (обновлено),https://vc.ru/opinions/1866108,№1 и №25,—,Активна,False,Обновлена 01.2026,2025-03-15,2025-03
15,08.04.2025,н/д,2025-04-08,,2025-04-08,vc.ru,Соцсети,Листикл «ТОП-15»,ТОП-15 лучших сервисов для накрутки отзывов ВКонтакте. Актуально на 2025 год,https://vc.ru/social/1659944,№1,прямая ссылка primelike.ru,Активна,False,—,2025-04-08,2025-04
16,20.04.2025,14.01.2026,2025-04-20,2026-01-14,2026-01-14,vc.ru,Мой опыт (toptelegram),Листикл «ТОП-25»,Накрутка в Яндекс.Дзен — 25 лучших сервисов 2025 года,https://vc.ru/toptelegram/1936717,№1,—,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-14,2026-01
17,05.05.2025,н/д,2025-05-05,,2025-05-05,vc.ru,Никита,Листикл «ТОП-20»,20 сервисов где купить подписчиков ВК в 2025 году (Лучшая схема),https://vc.ru/niksolovov/1413256,№1,—,Активна,False,—,2025-05-05,2025-05
18,25.06.2025,—,2025-06-25,,2025-06-25,vc.ru,Сервисы / TopCheck,Персональный промо-обзор,PrimeLike — лучший сервис 2025 года по продвижению в социальных сетях,https://vc.ru/services/2064000,Вся статья — реклама,прямая ссылка,Активна,False,Джинса-обзор №1,2025-06-25,2025-06
19,26.06.2025,н/д,2025-06-26,,2025-06-26,vc.ru,Личный опыт,Листикл «ТОП-22»,Накрутка подписчиков в Дзен — ТОП-22 сервиса 2025 года,https://vc.ru/life/2066047,№1,—,Активна,False,—,2025-06-26,2025-06
20,25.07.2025,17.01.2026,2025-07-25,2026-01-17,2026-01-17,vc.ru,Мой опыт (toptelegram),Листикл «ТОП-25»,Накрутка комментариев Дзен — ТОП-25 сервисов,https://vc.ru/toptelegram/2120909,№1 и №25,—,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-17,2026-01
21,06.08.2025,16.01.2026,2025-08-06,2026-01-16,2026-01-16,vc.ru,Никита,Листикл «ТОП-50»,Накрутка зрителей Твич — ТОП-50 сайтов в 2026 году,https://vc.ru/niksolovov/2142099,№1 и №25,—,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-16,2026-01
22,07.09.2025,н/д,2025-09-07,,2025-09-07,vc.ru,ТОП (best-top),Листикл «ТОП-7»,"Как накрутить просмотры на Ютуб — 7 сервисов, которые работают без списаний",https://vc.ru/best-top/1924920,№4,—,Активна,False,"Один из немногих рейтингов, где PrimeLike не №1",2025-09-07,2025-09
23,09.10.2025,20.10.2025,2025-10-09,2025-10-20,2025-10-09,vc.ru,Сервисы / T10,Листикл «ТОП-5»,Как накрутить лайки в Likee: ТОП-5 сервисов + пошаговая инструкция,https://vc.ru/services/2264551,№1,прямая ссылка primelike.ru,Активна,False,—,2025-10-09,2025-10
24,19.12.2025,—,2025-12-19,,2025-12-19,vc.ru,TopCheck,Персональный промо-обзор,PrimeLike — продвижение в социальных сетях в 2026 году. Обзор и преимущества сервиса,https://vc.ru/topcheck/2657920,Вся статья — реклама,прямая ссылка,Активна,False,Джинса-обзор №3,2025-12-19,2025-12
25,янв.2026,14.01.2026,,2026-01-14,2026-01-14,vc.ru,Никита,Листикл «ТОП-25»,Накрутка лайков в Тик Ток: ТОП-25 сервисов в 2026 году,https://vc.ru/niksolovov/1495071,№1,—,Активна,False,Волна января 2026,2026-01-14,2026-01
26,янв.2026,14.01.2026,,2026-01-14,2026-01-14,vc.ru,Никита,Листикл «ТОП-20»,Накрутка просмотров в Тик Ток бесплатно: 20 проверенных сервисов в 2026 году,https://vc.ru/niksolovov/1539114,входит,—,Активна,False,Волна января 2026,2026-01-14,2026-01
27,янв.2026,14.01.2026,,2026-01-14,2026-01-14,vc.ru,Никита,Листикл «ТОП-25»,Накрутка дочитываний в Дзен — ТОП-25 сервисов в 2026 году,https://vc.ru/niksolovov/1520019,№1,—,Активна,False,Волна января 2026,2026-01-14,2026-01
28,15.01.2026,н/д,2026-01-15,,2026-01-15,vc.ru,Маркетинг,Листикл «ТОП-20»,Накрутка зрителей Twitch бесплатно: Рейтинг 20 лучших сервисов 2026,https://vc.ru/marketing/2460375,№1 и №8,—,Активна,False,Волна января 2026,2026-01-15,2026-01
29,17.01.2026,н/д,2026-01-17,,2026-01-17,vc.ru,Соцсети,Листикл «ТОП-15»,Как накрутить зрителей в Twitch: ТОП-15 лучших сервисов в 2026 году,https://vc.ru/social/1545429,№1,—,Активна,False,Волна января 2026,2026-01-17,2026-01
30,17.01.2026,н/д,2026-01-17,,2026-01-17,vc.ru,Сервисы,Листикл «ТОП-21»,Накрутка зрителей Твич бесплатно: лучшие 21 сервисы 2026 года,https://vc.ru/services/1845328,№1,—,Активна,False,Волна января 2026,2026-01-17,2026-01
31,18.01.2026,н/д,2026-01-18,,2026-01-18,vc.ru,Никита,Листикл «ТОП-25»,ТОП 25 приложений для накрутки лайков ВК — рейтинг приложений ВКонтакте,https://vc.ru/niksolovov/1385923,№1 и №25,—,Активна,False,Волна января 2026,2026-01-18,2026-01
32,17.04.2026,—,2026-04-17,,2026-04-17,vc.ru,Сервисы / Артём Вардов,Листикл «ТОП-18»,Накрутка видео Ютуб: ТОП 18 сервисов для быстрого роста просмотров,https://vc.ru/services/2873565,№9,—,Активна,False,«Мягкая» подача,2026-04-17,2026-04
33,14.06.2026,н/д,2026-06-14,,2026-06-14,vc.ru,Маркетинг,Листикл «ТОП-25»,"Как накрутить в Яндекс Дзен: дочитывания, просмотры и подписчиков — ТОП-25 в 2026",https://vc.ru/marketing/1715685,№1,—,Активна,False,—,2026-06-14,2026-06
34,17.01.2025,н/д,2025-01-17,,2025-01-17,dtf.ru,ТОП рейтинг (top-smm),Листикл «ТОП-15»,Топ 15 сервисов для накрутки лайков в ТикТок в 2025 году,https://dtf.ru/top-smm/3400436,№1,—,Активна,False,Первая волна,2025-01-17,2025-01
35,25.01.2025,12.01.2026,2025-01-25,2026-01-12,2025-01-25,dtf.ru,ТОП рейтинг,Листикл «ТОП-15»,15 лучших сервисов для накрутки Дзен в 2026 году,https://dtf.ru/top-smm/3430165,№1,—,Активна,False,Обновлена 01.2026,2025-01-25,2025-01
36,30.01.2025,13.01.2026,2025-01-30,2026-01-13,2025-01-30,dtf.ru,ТОП рейтинг,Листикл «ТОП-26»,Топ 26 лучших сервисов для накрутки подписчиков в 2026 году,https://dtf.ru/top-smm/3450004,№1 и №25,—,Активна,False,Обновлена 01.2026,2025-01-30,2025-01
37,22.09.2025,12.01.2026,2025-09-22,2026-01-12,2025-09-22,dtf.ru,ТОП Телеграм (smmtools),Листикл «ТОП-22»,Накрутка просмотров YouTube — ТОП 22 проверенных сервисов в 2026 году,https://dtf.ru/smmtools/4043742,№1,START5,Активна,False,Обновлена 01.2026,2025-09-22,2025-09
38,20.10.2025,—,2025-10-20,,2025-10-20,dtf.ru,ТОП рейтинг,Листикл «ТОП-20»,Накрутка просмотров YouTube — ТОП 20 полезных сервисов в 2025 году (Успех 100%),https://dtf.ru/top-smm/4100678,№1,—,Активна,False,—,2025-10-20,2025-10
39,04.12.2025,16.01.2026,2025-12-04,2026-01-16,2025-12-04,dtf.ru,ТОП рейтинг,Листикл «ТОП-20»,Накрутка Тик Ток — Эксклюзивная подборка 20 честных сервисов в 2026 году,https://dtf.ru/top-smm/4512311,№1 и №8,—,Активна,False,Обновлена 01.2026,2025-12-04,2025-12
40,03.01.2026,н/д,2026-01-03,,2026-01-03,dtf.ru,ТОП рейтинг,Листикл «ТОП-26»,Накрутка зрителей Ютуб: 26 лучших сервисов в 2026 году,https://dtf.ru/top-smm/2891852,входит,—,Активна,False,Волна января 2026,2026-01-03,2026-01
41,11.01.2026,н/д,2026-01-11,,2026-01-11,dtf.ru,ТОП рейтинг,Листикл «ТОП-26»,Накрутка ТГ: 26 проверенных сервисов в 2026 году (Мой рейтинг и обзор),https://dtf.ru/top-smm/3339658,№1,—,Активна,False,Волна января 2026,2026-01-11,2026-01
42,11.01.2026,н/д,2026-01-11,,2026-01-11,dtf.ru,ТОП рейтинг,Листикл «ТОП-26»,Как накрутить YouTube: ТОП-26 лучших сервисов в 2026 году,https://dtf.ru/top-smm/3331441,№1,—,Активна,False,Волна января 2026,2026-01-11,2026-01
43,11.01.2026,н/д,2026-01-11,,2026-01-11,dtf.ru,ТОП рейтинг,Листикл «ТОП-26»,Накрутка подписчиков в Лайке бесплатно: 26 лучших сервисов (рейтинг 2026),https://dtf.ru/top-smm/3343693,№1,—,Активна,False,Волна января 2026,2026-01-11,2026-01
44,12.01.2026,н/д,2026-01-12,,2026-01-12,dtf.ru,ТОП рейтинг,Листикл «ТОП-15»,Лучшие сервисы для накрутки живых подписчиков и ботов в Тик Ток в 2026 году,https://dtf.ru/top-smm/3428770,№1,—,Активна,False,Волна января 2026,2026-01-12,2026-01
45,15.01.2026,н/д,2026-01-15,,2026-01-15,dtf.ru,ТОП рейтинг,Листикл «ТОП-23»,Накрутка лайков YouTube — 23 надёжных сервиса в 2026 году,https://dtf.ru/top-smm/3798282,№1,—,Активна,False,Волна января 2026,2026-01-15,2026-01
46,16.01.2026,н/д,2026-01-16,,2026-01-16,dtf.ru,ТОП рейтинг,Листикл «ТОП-22»,Накрутка просмотров YouTube — ТОП 22 проверенных сервисов в 2026 году,https://dtf.ru/top-smm/4042788,входит,—,Активна,False,Волна января 2026,2026-01-16,2026-01
47,16.01.2026,н/д,2026-01-16,,2026-01-16,dtf.ru,ТОП рейтинг,Листикл «ТОП-20»,Рейтинг лучших сервисов накрутки в соц сетях 2026 году (ТОП-20),https://dtf.ru/top-smm/4408978,входит,—,Активна,False,Волна января 2026,2026-01-16,2026-01
48,20.01.2026,н/д,2026-01-20,,2026-01-20,dtf.ru,ТОП рейтинг,Листикл «ТОП-20»,20 полезных Telegram-ботов для накрутки в Лайке,https://dtf.ru/top-smm/4141317,№1 и №8,—,Активна,False,Волна января 2026,2026-01-20,2026-01
49,20.01.2026,н/д,2026-01-20,,2026-01-20,dtf.ru,ТОП рейтинг,Листикл «ТОП-15»,ТОП-15 надёжных сервисов для накрутки голосов в голосовании ВК в 2026 году,https://dtf.ru/top-smm/4712530,№1,—,Активна,False,Волна января 2026,2026-01-20,2026-01
50,16.05.2025,—,2025-05-16,,2025-05-16,pikabu.ru,н/д,Листикл «ТОП-5»,Продвижение ВК без бана: ТОП-5 сервисов для продвижения группы/сообщества ВК в 2025 году,https://pikabu.ru/story/...12732241,№1,прямая ссылка primelike.ru,УДАЛЕНА,False,ФЛАГ: снята модерацией — «Нарушение правил размещения рекламы» (проверено 21.09.2026),2025-05-16,2025-05
51,16.05.2025,—,2025-05-16,,2025-05-16,pikabu.ru,н/д,Листикл «ТОП-5»,ТОП-5 безопасных сервисов для продвижения видео на YouTube,пост недоступен (кэш тег-выдачи pikabu.ru),№1,прямая ссылка primelike.ru,Недоступна,False,Предположительно тоже снята,2025-05-16,2025-05
52,16.05.2025,—,2025-05-16,,2025-05-16,tenchat.ru,Обзоры и рейтинги,Листикл «ТОП-10»,"Лучшие сервисы накрутки рефералов в ТГ (Телеграм): ТОП-10, рейтинг 2025",https://tenchat.ru/media/3334185,№1 (5.0),"прямая ссылка; от 0,4 ₽/реферала",Активна,False,—,2025-05-16,2025-05
53,28.05.2025,—,2025-05-28,,2025-05-28,tenchat.ru,Обзоры и рейтинги,Серия «ТОП-13»,Лучшие сервисы для накрутки подписчиков Дзен: ТОП-13 (+ рейтинги лайков/зрителей/просмотров Ютуб),https://tenchat.ru/media/3371445,№1 (5.0),START5,Активна,False,Одна публикация — 4 рейтинга,2025-05-28,2025-05
54,16.08.2025,—,2025-08-16,,2025-08-16,tenchat.ru,Иван Обзорoff,Листикл «ТОП-20»,Накрутка канала тг: ТОП-20 лучших сервисов [Рейтинг 2025],https://tenchat.ru/media/3688406,№1 (4.8),прямая ссылка HTTPS://PRIMELIKE.RU,Активна,False,—,2025-08-16,2025-08
55,н/д (2025),—,,,,tenchat.ru,Обзорщикофф,Листикл «ТОП-20»,SMM инстаграм накрутка: ТОП-20 лучших сервисов [Рейтинг 2025],https://tenchat.ru/4950350,№2,прямая ссылка,Активна,False,Дата не установлена,,
56,04.12.2025,—,2025-12-04,,2025-12-04,tenchat.ru,Сергей,Персональный промо-обзор,Праймлайк — обзор функционала сервиса. Промокод на скидку,https://tenchat.ru/media/4201719,Вся статья — реклама,промокод на скидку,Активна,False,Обзор тарифов с дисклеймером рисков,2025-12-04,2025-12
57,04.03.2025,н/д,2025-03-04,,2025-03-04,timeweb.com,Timeweb Community,Листикл «ТОП-10»,Накрутка подписчиков в Яндекс Дзен — лучшие сервисы (ТОП-10 на 2026 год),https://timeweb.com/ru/community/articles/nakrutka-podpischikov-v-yandeks-dzen-luchshie-servisy-po-rabote-s-podpischikami-v-dzen,№10 и №6 (две подборки),—,Активна,False,Упоминается дважды в статье,2025-03-04,2025-03
58,19.01.2026,н/д,2026-01-19,,2026-01-19,adpass.ru,ADPASS,Листикл «ТОП-22»,Лучшие сервисы накрутки лайков в Лайке (Likee): ТОП-22 инструмента для раскрутки,https://adpass.ru/luchshie-servisy-nakrutki-lajkov-v-lajke-likee-top-22-instrumentov-dlya-raskrutki/,входит,—,Активна,False,Волна января 2026,2026-01-19,2026-01
59,07.07.2026,н/д,2026-07-07,,2026-07-07,adpass.ru,ADPASS,Листикл «ТОП-12»,Накрутка подписчиков в Лайке (Likee): лучшие сервисы для увеличения охватов,https://adpass.ru/nakrutka-podpischikov-v-lajke-likee-luchshie-servisy-dlya-uvelicheniya-ohvatov/,№12,—,Активна,False,—,2026-07-07,2026-07
60,2025–2026,н/д,,,,fireseo.ru,FireSEO,Листикл «ТОП-14»,Как накрутить лайки в Likee: ТОП 14 сервисов в 2026,https://fireseo.ru/online-services/layki-v-likee/,входит,кнопка «Перейти»,Активна,False,Точная дата не индексируется,,
61,17.09.2024,н/д,2024-09-17,,2024-09-17,cossa.ru,Блог niksolovov,Листикл «ТОП-21»,Накрутка подписчиков Инстаграм: ТОП-21 лучший сервис в 2025 году,https://www.cossa.ru/niksolovov/334807/,входит,—,Активна,False,"ФЛАГ: опубликована ДО регистрации домена (20.09.2024) — вероятно, обновлялась",2024-09-17,2024-09
62,18.10.2024,—,2024-10-18,,2024-10-18,cossa.ru,Дмитрий Светлов / блог Top Rating (prodvigaika.ru),Листикл «ТОП-20»,Телеграм накрутка реакций: 20 лучших сервисов в 2026 году (Мой рейтинг),https://www.cossa.ru/top_rating/335707/,№1,реф-ссылка primelike.ru/?ref=kyn,Активна,False,ФЛАГ: вышла за 3 месяца до запуска сайта (первый снимок 24.01.2025) — сидинг до старта,2024-10-18,2024-10
63,08.01.2025,н/д,2025-01-08,,2025-01-08,cossa.ru,Блог niksolovov,Листикл «ТОП-25»,Как накрутить просмотры в ВК: ТОП-25 сервисов (2025),https://www.cossa.ru/niksolovov/337656/,входит,—,Активна,False,Первая волна,2025-01-08,2025-01
64,21.02.2025,н/д,2025-02-21,,2025-02-21,cossa.ru,Блог niksolovov,Гайд + рейтинг «ТОП-25»,Накрутка просмотров в Телеграм — Полное руководство,https://www.cossa.ru/niksolovov/338697/,№1,—,Активна,False,Первая волна,2025-02-21,2025-02
65,09.07.2025,—,2025-07-09,,2025-07-09,vc.ru,Сервисы / TopCheck,Персональный промо-обзор,"Праймлайк — накрутка подписчиков и просмотров в Телеграм, Инстаграм, Ютуб, ВК и других соц. сетях",https://vc.ru/services/2089917-praimlaik-nakrutka-podpischikov-i-laykov-v-sotssetyakh,Вся статья — реклама,прямая ссылка,Активна,False,Джинса-обзор №2,2025-07-09,2025-07
66,15.11.2025,14.06.2026,2025-11-15,2026-06-14,2025-11-15,vc.ru,Никита,Листикл «ТОП-20»,Список 20 лучших сервисов SMM накрутки в 2026 году,https://vc.ru/niksolovov/2416049,№1 и №8,—,Активна,False,Обновлена 06.2026,2025-11-15,2025-11
67,янв.2026,13.01.2026,,2026-01-13,2026-01-13,vc.ru,Никита,Листикл «ТОП-25»,Накрутка комментариев Дзен — ТОП-25 сервисов в 2026 году,https://vc.ru/niksolovov/1421565,№1,—,Активна,True,ID соседствует со статьями 08.2024 — вероятный ретрофиттинг,2026-01-13,2026-01
68,14.01.2026,н/д,2026-01-14,,2026-01-14,vc.ru,Маркетинг,Листикл «ТОП-16»,SMM накрутка: ТОП-16 лучших сервисов в 2026 году,https://vc.ru/marketing/2689757,№1,—,Активна,False,Волна января 2026,2026-01-14,2026-01
69,12.02.2025,14.01.2026,2025-02-12,2026-01-14,2025-02-12,dtf.ru,ТОП рейтинг,Листикл «ТОП-23»,Накрутка подписчиков яндекс дзен ТОП-23 сервиса в 2026 году (Только лучшие),https://dtf.ru/top-smm/3503660,№1,кнопка «Перейти на PrimeLike»,Активна,False,Обновлена 01.2026,2025-02-12,2025-02
70,29.01.2025,13.01.2026,2025-01-29,2026-01-13,2025-01-29,dtf.ru,ТОП рейтинг,Листикл «ТОП-26»,Лучшие сервисы для бесплатной накрутки Дзен в 2026 году,https://dtf.ru/top-smm/3446323,№1,—,Активна,False,Обновлена 01.2026,2025-01-29,2025-01
71,16.01.2026,н/д,2026-01-16,,2026-01-16,dtf.ru,ТОП рейтинг,Листикл «ТОП-22»,Накрутка подписчиков Дзен — ТОП 22 честных сайтов в 2026 году,https://dtf.ru/top-smm/4047636,№1,—,Активна,False,Волна января 2026,2026-01-16,2026-01
72,16.09.2025,н/д,2025-09-16,,2025-09-16,companies.rbc.ru,Никита Соловов (РБК Компании),Листикл «ТОП-7»,Как набрать подписчиков в телеграм: топ-7 лучших сервисов,https://companies.rbc.ru/news/feVZzYRSL4/kak-nabrat-podpischikov-v-telegram-top-7-luchshih-servisov/,№1,—,Активна,False,Автор = владелец сервиса (ИП Соловов),2025-09-16,2025-09
73,17.09.2025,н/д,2025-09-17,,2025-09-17,companies.rbc.ru,Никита Соловов,Листикл «ТОП-12»,Набрать подписчиков в ВК: сервисы для недорогого привлечения аудитории,https://companies.rbc.ru/news/SguEnWCOW0/nabrat-podpischikov-v-vk-servisyi-dlya-nedorogogo-privlecheniya-auditorii/,№1,карточка компании (реквизиты ИП),Активна,False,ФЛАГ: карточка с ИНН/ОГРНИП ИП Соловова и сайтом primelike.ru,2025-09-17,2025-09
74,18.09.2025,н/д,2025-09-18,,2025-09-18,companies.rbc.ru,Никита Соловов,Листикл «ТОП-14»,Как набрать подписчиков в Тик Ток: сервисы и бесплатные методы,https://companies.rbc.ru/news/NY97q5h72p/kak-nabrat-podpischikov-v-tik-tok-luchshie-servisyi-i-besplatnyie-metodyi/,«№1 по стабильности»,—,Активна,False,—,2025-09-18,2025-09
75,29.09.2025,—,2025-09-29,,2025-09-29,companies.rbc.ru,Никита Соловов,Аналитический материал,Накрутка реакций в Телеграм (ТГ) — зачем делают и какие альтернативы,https://companies.rbc.ru/news/ZbvWUGdLRk/nakrutka-reaktsij-v-telegram-tg---zachem-delayut-i-kakie-alternativyi/,Упомянут первым,—,Активна,False,—,2025-09-29,2025-09
76,22.01.2026,н/д,2026-01-22,,2026-01-22,companies.rbc.ru,Никита Соловов,Листикл «ТОП-5»,Как набрать просмотры в Телеграм,https://companies.rbc.ru/news/LfsWl1MEA8/kak-nabrat-prosmotryi-v-telegram/,№1,карточка компании,Активна,False,Волна января 2026,2026-01-22,2026-01
77,26.01.2026,н/д,2026-01-26,,2026-01-26,companies.rbc.ru,Никита Соловов,Листикл «ТОП-4»,Купить живых подписчиков в ТГ: сервисы и бесплатные методы,https://companies.rbc.ru/amp/news/5a697694-790d-491f-9ad1-c2bb5b769e52/,№1,—,Активна,False,Волна января 2026,2026-01-26,2026-01
78,27.01.2026,—,2026-01-27,,2026-01-27,companies.rbc.ru,Никита Соловов,Гайд + ТОП-3,"Накрутка подписчиков в Лайке: как сделать, сервисы и бесплатные методы",https://companies.rbc.ru/news/iamwpqEgCq/nakrutka-podpischikov-v-lajke-kak-sdelat-servisyi-i-besplatnyie-metodyi/,№3 из 3 «проверенных»,—,Активна,False,Есть AMP-дубль,2026-01-27,2026-01
79,28.01.2026,н/д,2026-01-28,,2026-01-28,companies.rbc.ru,Никита Соловов,Листикл «ТОП-4»,Накрутка комментариев в Телеграм: как увеличить активность канала,https://companies.rbc.ru/news/zE3yrCNLy6/nakrutka-kommentariev-v-telegram-kak-uvelichit-aktivnost-kanala/,№3,карточка «Выбор редакции» с реквизитами,Активна,False,Волна января 2026,2026-01-28,2026-01
80,28.01.2026,н/д,2026-01-28,,2026-01-28,companies.rbc.ru,Никита Соловов,Гайд + ТОП-4,Накрутка лайков и реакций в ВК: сервисы и бесплатные методы,https://companies.rbc.ru/news/HKvWofsGEP/nakrutka-lajkov-i-reaktsij-v-vk-servisyi-i-besplatnyie-metodyi/,№1,—,Активна,False,Волна января 2026,2026-01-28,2026-01
81,05.02.2026,н/д,2026-02-05,,2026-02-05,companies.rbc.ru,Никита Соловов,Листикл «ТОП-4»,Как набрать просмотры в телеграм: обзор сервисов и способов,https://companies.rbc.ru/news/AImmQfOBfU/kak-nabrat-prosmotryi-v-telegram-obzor-servisov-i-sposobov/,№1,—,Активна,False,—,2026-02-05,2026-02
82,09.02.2026,—,2026-02-09,,2026-02-09,companies.rbc.ru,Никита Соловов,Гайд,Накрутка подписчиков: зачем нужно и эффективные способы,https://companies.rbc.ru/news/NfPfWYdK8E/nakrutka-podpischikov-zachem-nuzhno-i-effektivnyie-sposobyi/,Упомянут первым,—,Активна,False,—,2026-02-09,2026-02
83,22.08.2026,н/д,2026-08-22,,2026-08-22,in-scale.ru/blog,in-scale (маркетолог),Листикл «8 сервисов»,Накрутка репостов в ВК: 8 лучших сервисов бесплатно,https://in-scale.ru/blog/nakrutka-repostov-vkontakte/,входит (позитивно),—,Активна,False,Последняя найденная публикация периода,2026-08-22,2026-08
